"ad,fiyat,cl"
"ROYAL SALUTE 70CL,9944.96855345912,70"
"ROYAL SALUTE CORONATION 70CL,864779.874213837,70"
"ROYAL SALUTE DESTINY 38 YO 50CL,43238.9937106918,50"
"ROYAL SALUTE 29 YO 70CL,25943.3962264151,70"
"ROYAL SALUTE 62 YO 100CL,164308.176100629,100"
"ROYAL SALUTE 62 YO 70CL,129716.981132075,70"
"ROYAL SALUTE 30 YO 50CL,34591.1949685535,50"
"ROYAL SALUTE 62 GUN AMER?CAN OAK  70CL,181603.773584906,70"
"ROYAL SALUTE 55 YO 70CL,1729559.74842767,70"
"CHIVAS REGAL 12 YO 300CL,7124.80252764613,300"
"CHIVAS REGAL 12 YO 100CL,2128.75197472354,100"
"CHIVAS REGAL 12 YO 70CL,1559.63665086888,70"
"CHIVAS REGAL 12 YO  70CL,1559.63665086888,70"
"CHIVAS REGAL 12 YO 35CL,847.156398104266,35"
"CHIVAS REGAL 12 YO 35CL,847.156398104266,35"
"CHIVAS REGAL 12 YO 20CL,490.916271721959,20"
"CHIVAS REGAL 12 YO 50CL,1212.08530805687,50"
"CHIVAS REGAL 12 YO 50CL,1212.08530805687,50"
"CHIVAS REGAL 12 YO 50CL,1212.08530805687,50"
"CHIVAS REGAL 12 YO 50CL,1212.08530805687,50"
"CHIVAS REGAL 12 YO 5CL,178.120063191153,5"
"CHIVAS REGAL 12 YO 175CL,3779.62085308057,175"
"CHIVAS REGAL EXTRA SMOKY 35CL,890.600315955766,35"
"CHIVAS REGAL EXTRA SMOKY 70CL,1646.52448657188,70"
"CHIVAS REGAL EXTRA SMOKY 100CL,2193.91785150079,100"
"CHIVAS REGAL 18 YO 70CL,3415.88050314465,70"
"CHIVAS REGAL 18 YO 70CL,3415.88050314465,70"
"CHIVAS REGAL 25 YO 70CL,19457.5471698113,70"
"CHIVAS REGAL 25 YO 70CL,19457.5471698113,70"
"CHIVAS REGAL 25 YO 70CL,19457.5471698113,70"
"CHIVAS REGAL ICON 70CL,159984.27672956,70"
"CHIVAS EXTRA 70CL,1859.27672955975,70"
"CHIVAS EXTRA TEQUILA 70CL,1859.27672955975,70"
"CHIVAS EXTRA 13YO SHERRY CASK 70CL,1859.27672955975,70"
"CHIVAS EXTRA 70CL,1859.27672955975,70"
"CHIVAS EXTRA 13YO TEQUILA 70CL,1859.27672955975,70"
"CHIVAS ULTIS 70CL,9080.18867924528,70"
"CHIVAS ULTIS 1999  70CL,9080.18867924528,70"
"CHIVAS REGAL ULTIS XX 3/70  70CL,9080.18867924528,70"
"CHIVAS REGAL MIZUNARA 70CL,2853.77358490566,70"
"CHIVAS XV 15 YO / 0 7 L 70CL,2810.53459119497,70"
"CHIVAS XV GOLD 15 YO / 0 7 L 70CL,2810.53459119497,70"
"BALLANTINE'S FINEST - pet 5CL,138.364779874214,5"
"BALLANTINE'S FINEST - pet 5CL,138.364779874214,5"
"BALLANTINE'S FINEST - naked 20CL,389.150943396226,20"
"BALLANTINE'S FINEST - naked 50CL,864.779874213836,50"
"BALLANTINE'S FINEST - naked 50CL,864.779874213836,50"
"BALLANTINE'S FINEST - naked 50CL,864.779874213836,50"
"BALLANTINE'S FINEST - naked 20CL,389.150943396226,20"
"BALLANTINE'S FINEST - naked 35CL,626.965408805032,35"
"BALLANTINE'S FINEST - naked 70CL,1145.83333333333,70"
"BALLANTINE'S FINEST - naked 100CL,1556.60377358491,100"
"BALLANTINE'S FINEST - naked 100CL,1556.60377358491,100"
"BALLANTINE'S FINEST - naked 100CL,1556.60377358491,100"
"BALLANTINE'S FINEST - naked 150CL,2334.90566037736,150"
"BALLANTINE'S FINEST - naked 300CL,5275.1572327044,300"
"BALLANTINES 7 YO BOURBON 70CL,1232.31132075472,70"
"BALLANTINES 7 YO BARREL 70CL,1232.31132075472,70"
"BALLANTINES 7 YO BARREL 70CL,1232.31132075472,70"
"BALLANTINE'S GOLD SEAL 12YO - gift 70CL,1275.55031446541,70"
"BALLANTINES 12 YO 35CL,670.204402515723,35"
"BALLANTINES 12 YO 12/50 50CL,951.25786163522,50"
"BALLANTINES 12 YO 12/100 100CL,1725.2358490566,100"
"BALLANTINES 10 YO 35CL,687.5,35"
"BALLANTINES 10 YO 50CL,994.496855345912,50"
"BALLANTINES 10 YO 70CL,1340.40880503145,70"
"BALLANTINES 10 YO  100CL,1837.6572327044,100"
"BALLANTINE'S 17 70CL,3242.92452830189,70"
"BALLANTINE'S 17 70CL,3242.92452830189,70"
"BALLANTINE'S 21 70CL,5404.87421383648,70"
"BALLANTINE'S 21 70CL,5404.87421383648,70"
"LONG JOHN - naked 70CL,756.682389937107,70"
"LONG JOHN - naked 70CL,756.682389937107,70"
"LONG JOHN - naked 100CL,1037.7358490566,100"
"LONG JOHN - naked 35CL,410.770440251572,35"
"LONG JOHN - naked 50CL,562.106918238994,50"
"PASSPORT 70CL,756.682389937107,70"
"PASSPORT 50CL,562.106918238994,50"
"PASSPORT 100CL,1037.7358490566,100"
"PASSPORT 100CL,1037.7358490566,100"
"PASSPORT 35CL,410.770440251572,35"
"PASSPORT 20CL,229.166666666667,20"
"Jp W?ser's 10YO 70CL,1232.31132075472,70"
"Pike Creek10 YO 70CL,1513.36477987421,70"
"Lot 40 70CL,2291.66666666667,70"
"Ramazotti Crema 70CL,843.160377358491,70"
"Caperdonich Peated 27 YO 70CL,38266.5094339623,70"
"Glen Keith 31 YO 70CL,33510.2201257862,70"
"Caperdonich 27 YO 70CL,31348.2704402516,70"
"Imperial 27 YO 70CL,28753.9308176101,70"
"Braeval 26 YO 70CL,19673.7421383648,70"
"Miltonduff 24 YO 70CL,15566.0377358491,70"
"100 PIPERS 12/70 70CL,864.779874213836,70"
"100 PIPERS 70CL,864.779874213836,70"
"CLAN CAMBELL 70CL,864.779874213836,70"
"CLAN CAMBELL 70CL,864.779874213836,70"
"GLENLIVET 12 70CL,2421.38364779874,70"
"GLENLIVET 15 70CL,3891.50943396226,70"
"GLENLIVET 18 70CL,5966.98113207547,70"
"GLENLIVET 18 70CL,5966.98113207547,70"
"GLENLIVET ARCHIVE 21 YO 70CL,17727.9874213837,70"
"GLENLIVET FOUNDERS RESERVE 70CL,1816.03773584906,70"
"GLENLIVET 25 YO 70CL,23349.0566037736,70"
"GLENLIVET CAPTAINS RESERVE 70CL,2983.49056603774,70"
"GLENLIVET ILLICIT LTD EDT  70CL,2897.01257861635,70"
"THE GLENLIVET SINGLE CASK EDITION 24YO 70CL,41077.0440251572,70"
"THE GLENLIVET 12 LICENSED DRAM 70CL,3329.40251572327,70"
"GLENLIVET CARIBBEAN RESERVE 70CL,2075.47169811321,70"
"ABERLOUR 12 70CL,2767.29559748428,70"
"ABERLOUR 12 70CL,2767.29559748428,70"
"ABERLOUR 16 70CL,5837.2641509434,70"
"ABERLOUR 16 70CL,5837.2641509434,70"
"ABERLOUR 18 70CL,7783.01886792453,70"
"ABERLOUR 18 50CL,6745.28301886792,50"
"ABERLOUR 18YO SHERRY CASK 70CL,7783.01886792453,70"
"ABERLOUR 14 70CL,3675.31446540881,70"
"ABERLOUR A BUNADH 70CL,5707.54716981132,70"
"ABERLOUR A BUNADH 70CL,5707.54716981132,70"
"ABERLOUR CASG ANNAMH 70CL,4150.94339622641,70"
"SCAPA SKIEREN 70CL,2680.81761006289,70"
"SCAPA GLANSA 70CL,2680.81761006289,70"
"SCAPA 10 YO 70CL,2680.81761006289,70"
"SCAPA 16 YO 70CL,5404.87421383648,70"
"SCAPA 21 YO 70CL,12539.3081761006,70"
"REDBREAST 12YO 70CL,3805.03144654088,70"
"REDBREAST 21YO 70CL,15133.6477987421,70"
"LONGMORN 18 YO 70CL,6053.45911949686,70"
"LONGMORN 23 YO 70CL,14268.8679245283,70"
"LONGMORN 25 YO  70CL,27024.3710691824,70"
"THE DEACON 70CL,1924.13522012579,70"
"CAPERDONICH PEATED 18 YO 70CL,9728.77358490566,70"
"CAPERDONICH PEATED 21 YO 70CL,17511.7924528302,70"
"CAPERDONICH PEATED 25 YO 70CL,31348.2704402516,70"
"JAMESON STANDARD 70CL,1340.40880503145,70"
"JAMESON STANDARD 35  35CL,687.5,35"
"JAMESON STANDARD 20CL,367.531446540881,20"
"JAMESON STANDARD 450CL,7545.20440251572,450"
"JAMESON STANDARD 5CL,155.660377358491,5"
"JAMESON STANDARD 100CL,1794.41823899371,100"
"JAMESON STANDARD 100CL,1794.41823899371,100"
"JAMESON BLACK BARREL 70CL,1772.79874213837,70"
"JAMESON COLD BREW 70CL,1210.69182389937,70"
"JAMESON  CASKMATES- IPA  70CL,1426.88679245283,70"
"JAMESON CASKMATES  70CL,1426.88679245283,70"
"JAMESON CASKMATES STOUT 5CL,181.603773584906,5"
"JAMESON CASKMATES IPA 5CL,181.603773584906,5"
"JAMESON GARA GUZU BREWERY EDITION 70CL,1340.40880503145,70"
"JOINT BOURBON WHISKEY 70CL,1837.6572327044,70"
"CAFÉ DE PARIS 75CL,1210.69182389937,75"
"CAFÉ DE PARIS BRUT 75CL,1210.69182389937,75"
"CAFÉ DE PARIS ROSE 75CL,1340.40880503145,75"
"MUMM CORDON ROUGE 75CL,3545.59748427673,75"
"MUMM CORDON ROUGE 12 5% 75CL,3545.59748427673,75"
"MUMM CORDON ROUGE 150CL,7955.9748427673,150"
"MUMM CORDON ROUGE 150CL,7955.9748427673,150"
"MUMM CORDON ROUGE 300CL,24213.8364779874,300"
"MUMM CORDON ROUGE 300CL,24213.8364779874,300"
"MUMM CORDON ROUGE 20CL,951.25786163522,20"
"MUMM CORDON ROUGE 37.5CL,2161.94968553459,37.5"
"MUMM CORDON ROUGE ROSE 75CL,4842.76729559748,75"
"MUMM GRAND CORDON ROSE 75CL,4842.76729559748,75"
"MUMM GRAND CORDON ROSE 150CL,9836.87106918239,150"
"MUMM GRAND CORDON ROSE 150CL,9836.87106918239,150"
"MUMM CORDON ROUGE NIGHT EDITION GOLD 75CL,3545.59748427673,75"
"MUMM CORDON ROUGE NIGHT EDITION GOLD 150CL,6918.23899371069,150"
"MUMM ICE EXTRA 75CL,4280.66037735849,75"
"PERRIER JOUET BELLE EPOQUE 75CL,8863.99371069183,75"
"LUC BELAIRE GOLD 75CL,2486.24213836478,75"
"LUC BELAIRE LUXE  75CL,2486.24213836478,75"
"LUC BELAIRE ROSE 75CL,2486.24213836478,75"
"LUC BELAIRE LUXE ROSE 75CL,2486.24213836478,75"
"KAHLUA 70CL,843.160377358491,70"
"KAHLUA 70CL,843.160377358491,70"
"KAHLUA 100CL,1145.83333333333,100"
"KAHLUA 100CL,1145.83333333333,100"
